"Priority","DateReported","Modified","Category","Contract_x0020_No","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod"
"Low","2022-05-13","2022-05-16","Advanced Wound Care","<div class=""ExternalClassFBEBE75AC4334BB59056FBF0725E6F67""><a href=""https&#58;//members.healthtrustpg.com/contracts/892"" title=""892"">892</a></div>","<div class=""ExternalClass60B6E6B766BF4F17A0C5450F374D557A""><div><div><b><span style=""color&#58;black;"">?</span>?UPDATE 4/6&#58; </b>Resolution timeline for no-sting skin protectant extended to Q3 for many products</div></div><div><b>No-Sting Skin Protectant</b></div><div>MSC1505 &#160;Sub&#58; MSC1500 &#160;Q2 2022 *MSC1500 can only be used for non-damaged skin&#160; &#160; &#160;&#160;</div><div>MSC1605 &#160;Sub&#58; MSC1500 &#160; Q3</div><div>MSC1506 &#160;Sub&#58; MSC1500 &#160;Q3</div><div>MSC1510 &#160;Sub&#58; MSC1500 &#160;Q3</div><div>MSC1513 &#160;Sub&#58; MSC1500 &#160;Q3</div><div>MSC1613 &#160;Sub&#58; MSC1500 Q3</div><div><br></div><div><b>UPDATE 4/6</b>&#58; MSC5575 &#160;Sub&#58; MSC5475 May 2022 removed from list<br></div><div><b>Hydrocolloid</b></div><div>MSC5522 &#160;Sub&#58; MSC5422 May 2022</div><div>MSC5544 &#160;Sub&#58; MSC5444 May 2022</div><div>MSC5566 &#160;Sub&#58; MSCS466 May 2022</div><div class=""ExternalClass7C9228FE49664CFBA6D0F62109058887""><p><br></p><div><br></div><div class=""ExternalClass95FA96E96B4247B6A1DAF3488AB7923A""><br></div></div></div>","<div class=""ExternalClass2ECC2E7B2BE5421DA1FA87DB27CA7254"">No official letter communicated. Information received via supplier.</div>","New formula is going through sterilization &amp; raw material shortages. Air freighting product when ready.
Hydrocolloid reason for disruption is new product adjustments by vendor.","Raw Material Shortage, Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClass32FCF7BAC7F34BB99242BB47EEB92E8C""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/892"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClassF03C00911CE046D8B10FAB386B92FAF5""><a href=""https://members.healthtrustpg.com/contracts/892"" title=""Wound Care, Advanced (Full Line)"">Wound Care, Advanced (Full Line)</a></div>"
"Low","2022-05-13","2022-05-16","Advanced Wound Care (Niche)","<div class=""ExternalClass7475C74504354719830F5272665EBB32""><a href=""https&#58;//members.healthtrustpg.com/contracts/23989"" title=""23989"">23989</a></div>","<div class=""ExternalClass00159BE41082492D944BF80CD00D7F4D""><div><div><span style=""color&#58;black;"">?</span><b>UPDATE 4/6&#58; </b>Affected products expanding and resolution timeline extended to June for some</div></div><div>Wound Cleanser&#58; </div><div>MSC6008 &#160;Sub&#58; EQX6008* non-contracted &#160;June 2022</div><div>CRR108008 &#160;Sub&#58; MSC8008 &#160;April 2022&#160; &#160; &#160;</div><div>CRR102062 Sub&#58; EQX6008 May 2022<div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><p><b>UPDATE 4/6&#58; </b>New Products Added&#58;</p>MSC6001 &#160;Sub&#58; EQX6008&#160; June 2022<p>MSC6016 &#160;Sub&#58; EQX6008 &#160;June 2022&#160; &#160;</p><p>CRR102162 &#160;Sub&#58; EQX6008 May 2022<br></p></div></div></div>","<div class=""ExternalClassECF9ECFFE7A6486896F72F783200BB09"">No official letter communicated. Information received via supplier.</div>","Low stock due to raw material shortage of the bottles product is packaged in.  Recently received large shipments of Skintegrity Wound Cleanser (MSC6008) to fill all backorders. MSC6008 not healthy yet, expected to drop again in inventory soon. Continue substituting Equos Wound Cleanser (EQX6008)
UPDATE 5/13: 16 oz, MSC6016, is low on inventory due to substitutions.","Packaging Issue, Raw Material Shortage","Alternatives Recommended by Supplier, Contracted Alternatives","<div class=""ExternalClass51601E54B93048B3ADB91655CA20ABC8""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/23989"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass3FD1A08745DE40499D19764CC4197604"">No cross posted</div>"
"Medium","2022-05-13","2022-05-16","Antimicrobial Incise Drapes","<div class=""ExternalClassE9430918765B4A8BB7B7C94001A10770""><a href=""https&#58;//members.healthtrustpg.com/contracts/3189"" title=""3189"">3189</a></div>","<div class=""ExternalClass17F9ABE5FA204199A5D52FCC7D644FCB"">Ioban Antimicrobial Incise Drapes various SKUs listed in communication</div>","<div class=""ExternalClassF6FAC1D78367453BB9571AFF1AAA6DE3""><a href=""https&#58;//portal.healthtrustpg.com/-/media/1C1D4AEC366341A4B02CEE331CD854E1.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=203159639&amp;_hsenc=p2ANqtz-8hkX5ytpxYHX9hJrab8A-OFJ6izBLW2Fn2vDQnRfRUg1xQ5jDC9ZpO0Q9RV9CilvlVY4HR2GrXKYbBXHKP4GraaJt"" title=""?3M Letter""><span style=""color&#58;black;"">?</span>3M Letter</a></div>","3M has placed some codes of their surgical drapes on intermittent backorder due to supply constraints on the availability of raw material.","Raw Material Shortage","Clinical Alternatives, Non-Contracted Alternatives","<div class=""ExternalClass63C98A552C9041EF9478B77996546F0B""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></li><li><span style=""color&#58;black;""><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/3189.Ioban%20Educational%20PPT.pdf?csf=1&amp;web=1&amp;e=Iduvyt"" title=""Clinical Resource - Education?""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Education?</span></a></span></li></ul></div></div>","<div class=""ExternalClassF91AE091133B46AAA9FBA1D7E3339F3C""><a href=""https://members.healthtrustpg.com/contracts/3189"" title=""Drapes - Specialty and Surgical"">Drapes - Specialty and Surgical</a></div>"
"Retire/Resolved","2021-11-19","2022-05-04","Baby Skin Care Supplies","<div class=""ExternalClassA5784B995F5F45F49BD5C0607BC3A046""><a href=""https&#58;//members.healthtrustpg.com/contracts/7347"" title=""7347"">7347</a></div>","<div class=""ExternalClass98E21A84958F452C8EE032691F22E48A"">No reported issues at present</div>","<div class=""ExternalClassD1D63069748B42448C3826121A0F92B0""><a href=""https&#58;//portal.healthtrustpg.com/-/media/C6C3A193BE5846ADAEBED136F40653B5.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=186036142&amp;_hsenc=p2ANqtz-_ip93BCigfKtHmAGpdJJkIoIqCV9ZiIq2b6QxvE9Nty3VciwB1buBnWH8KzHodDMv3N92fJEPD-my_VW5dtwoaDuN"" title=""J&amp;J Letter"">J&amp;J Letter</a></div>","No reported backorders at this item, but J&amp;J issuing a potential disruption due to a global silicone shortage.","Raw Material Shortage","Member Communication","<div class=""ExternalClassBB79C51A8D3D43AA8ED8ECDD6ADEDFEC""><div><ul><li><span style=""color&#58;black;""><a href=""https://members.healthtrustpg.com/contracts/7347"" title=""?Award Summary"">?Award Summary</a>&#160;</span></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/7347.Clin_Ques_BabyPowder_FINAL.pdf?csf=1&amp;web=1&amp;e=kgnb42"" title=""Clinical Resource - Baby Powder Clinical Evidence?"">Clinical Resource - Baby Powder Clinical Evidence?</a></li></ul></div></div>","<div class=""ExternalClass38105D191DFC427DA1CCA30B3F873582""><a href=""https://members.healthtrustpg.com/contracts/7347"" title=""Baby Skin Care Supplies"">Baby Skin Care Supplies</a></div>"
"Low","2022-04-06","2022-04-06","Bandages- Elastic","<div class=""ExternalClassE69630D806B24540B20A302C42C82B45""><a href=""https&#58;//members.healthtrustpg.com/contracts/589"" title=""589"">589</a></div>","<div class=""ExternalClass26BAA55C9D7B4C9AAFDBEF2267C93C00""><span style=""color&#58;black;"">?</span>Various SKUs</div><div class=""ExternalClass26BAA55C9D7B4C9AAFDBEF2267C93C00""><div style=""margin-top&#58;0px;margin-bottom&#58;0px;""><span>DYNJ05155LF &#160;Sub&#58; DYNJ05131 March<br></span><span>MDS087006LF Sub&#58; MDS0S7004 April <p>MDS087106LF Sub&#58; MDS087104LF May&#160;</p><p>MDS087156LF Sub&#58; MDS087104LF May&#160;&#160;<br></p></span></div></div>","<div class=""ExternalClass8712FA49DE2849EC92D1E19247AA2ACC"">No official letter communicated. Information received via supplier.</div>","Low stock with sporadic branch-level backorders through portions of Q2 due to factory delays in late Q3/early Q4","Manufacturing Delays from Third Party Vendor","Contracted Alternatives","<div class=""ExternalClass61645D377D3345E2956974E9E23EAD97""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/589"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassB9203CA96EAD4F75BCA5BD666DDD73EF""><a href=""https://members.healthtrustpg.com/contracts/589"" title=""Bandages - Elastic"">Bandages - Elastic</a></div>"
"Medium","2022-05-13","2022-05-16","Balloons, Specialty","<div class=""ExternalClass61089F7159734AE1BE9C28FEC512B11B""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><a href=""https&#58;//members.healthtrustpg.com/contracts/3999"" title=""3999"">3999</a></div></div>","<div class=""ExternalClassB0E23183BFA24AA88BFDF799D6426704"">Wolverine cutting balloon sizes 3.5mm-4.0mm</div>","<div class=""ExternalClassED711CC28FE546CFA3C24EF20A522FB9"">Communicated in The Response 1-7-22. No official letter.</div>","Wolverine cutting balloon sizes 3.5mm-4.0mm are on extended back order until May ? June 2022. All other sizes in the Wolverine product line remain available.                                                                 Potential alternatives to consider include:                     ? 3.25 mm for 3.5 mm per IFU                                          ? Equivalent sizes of NC Emerge Dilatation Catheter   ? Larger ROTA burr sizes","Not Specified - Global Supply Challenges","Alternatives Recommended by Supplier","<div class=""ExternalClass72F7D51088614FB1B4A569AEDF65C5D9""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;color&#58;black;"">?</span><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/CES_Specialty%20Balloons_02.03.21.pdf?csf=1&amp;web=1&amp;e=hSJUJt"" title=""Clinical Resource - CES""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;""></span><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Specialty Balloon Clinical Evidence</span></a></li><li><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/PFS_SpecialtyBalloons_2.4.21%20(3).xlsx?d=w142afed021e148dd80cb6f789030d705&amp;csf=1&amp;web=1&amp;e=k4qGbc"" title=""Clinical Resource - PFS""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Specialty Balloon PFS</span></a></li></ul></div></div>","<div class=""ExternalClass1B3C6E543E4D491ABAB7C815EE15379B"">Balloons - Cutting (Cardiac and Peripheral)</div>"
"Low","2022-04-29","2022-05-04","Bandages - Elastic Self-Adherent (Coban)","<div class=""ExternalClassF21D30971B4C4199B2051CC913AD5491""><a href=""https&#58;//members.healthtrustpg.com/contracts/1264"" title=""1264"">1264</a></div>","<div class=""ExternalClass39ACC2ACC7DA40F6A6F9FF944DDD291A""><span style=""color&#58;black;"">?</span>3M? Coban? NL Non-Latex Self-Adherent Wraps, 3M? Coban? Self-Adherent Wraps (Latex Containing)</div><div class=""ExternalClass39ACC2ACC7DA40F6A6F9FF944DDD291A""><p><br></p><p>UPDATE 4/29&#58; 3M discontinuing some Coban products by 7/15/22 - please refer to letter for list and suggested alternatives.</p></div>","<div class=""ExternalClass0CC7E529F7214717AB9EC497793061DD""><ul><li><span style=""color&#58;black;"">?</span>UPDATE 4/29&#58; <a href=""https&#58;//portal.healthtrustpg.com/-/media/25C25BEADEF04982A619194E71D8A631.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=210710527&amp;_hsenc=p2ANqtz--https&#58;//portal.healthtrustpg.com/-/media/25C25BEADEF04982A619194E71D8A631.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=210710527&amp;_hsenc=p2ANqtz--wa90GIdSpz02hhCEdkT6k6xWdCtt_ua1DBgu1OFCTLibhvhjc_mRh7UcSBsvk48Vve7J2Y7Qgk1WkQcp_YJ0OyS8"" title=""3M Product Discontinuation Letter"">3M Product Discontinuation Letter</a></li><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/D2FE990C5CEC40CEA31D618AB5BC202B.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=196271070&amp;_hsenc=p2ANqtz-8v_2Vc2bt7koDSZJmwwdKYX_SzC1dtwcuib2nxMAQcZkUOMmdEKobmSeycwMELpwkV3j6OzV2Mh1rCePwavxa8Mwd"" title=""3M Letter""><span style=""color&#58;black;"">?</span>3M Letter</a></li></ul></div>","UPDATE 4/29: 3M is discontinuing the Coban? products listed in the letter provided. Additional information, including the target discontinuation date for each product and suggested alternatives, where applicable, has been provided. 3M previously suspended production of these products temporarily, and they have made the decision to not resume manufacturing
3M is experiencing intermittent supply issues for 3M? Coban? NL Non-Latex Self-Adherent Wraps, 3M? Coban? Self-Adherent Wraps (Latex Containing)and these products will be on backorder through end of Q3, 2022. 3M recommends transitioning future and existing orders from current to the recommended products.","Not Specified - Global Supply Challenges, Shipping Delays","Alternatives Recommended by Supplier","","<div class=""ExternalClass43AF5EBEC34842A3BAF9D52A3AABC614""><a href=""https://members.healthtrustpg.com/contracts/1264"" title=""Bandages - Elastic Self-Adherent (Coban)"">Bandages - Elastic Self-Adherent (Coban)</a></div>"
"High","2021-10-26","2022-02-17","Blood Collection Tubes","<div class=""ExternalClass165F4B3E877F4E13B6B4D96FD755F8DC""><a href=""https&#58;//members.healthtrustpg.com/contracts/56458"" title=""56458"">56458</a></div>","<div class=""ExternalClassD20FF3283598498BA5BEE918256FB91A"">Various SKUs</div>","<div class=""ExternalClass8DCA94A8B9C541599557722C1F38A3A0"">No official letter communicated. Information received via supplier.</div>","Greiner has been experiencing a backorder for the past 12+ months due to an increase in demand related to COVID. This is a global shortage and BD, who is not contracted, is experiencing the same issues.","Demand Fluctuations","Non-Contracted Alternatives","<div class=""ExternalClassE92048B0490A40088D4A7E453A171D60""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/56458-6022.Infographic-Collection%20Tubes_5.28.21_1340.pdf?csf=1&amp;web=1&amp;e=L5UnvL"" title=""Clinical Resource - Collection Tube Conservation""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Collection Tube Conservation</span></a></li></ul></div></div>","<div class=""ExternalClass9D6FA6ED620744BEA4A8CB9F66DB49AF"">Blood Collection - Tubes</div>"
"High","2022-05-12","2022-05-16","Blood/Fluid Warming Equipment and Supplies","<div class=""ExternalClassDC372F171A914F96A57A2356705E061E""><a href=""https&#58;//members.healthtrustpg.com/contracts/59624"" title=""59624"">59624</a></div>","<div class=""ExternalClass3417A89A8B6C4349AAD8B79162B4F257"">Level1 Fast Flow disposable products</div>","<div class=""ExternalClassC4E3474A079D47F3981ECAC5BF80AA17""><a href=""https&#58;//portal.healthtrustpg.com/-/media/2AEDD30DA7E043798F779503A98332AC.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=190345457&amp;_hsenc=p2ANqtz-_sQb5QoZvONHwQgwQElycZzhH6-9fL8aNPRZWr4mgKoXZ461GSJdo5DFdJyEjZ12j8RVKRWd1DCNIv30GvqjNForJ"" title=""Smiths Medical Letter"">Smiths Medical Letter</a></div>","Smiths Medical had anticipated that the component issue for the Level1 Fast Flow disposable products would be resolved by September. However, the component supply issue is continuing longer than expected, and supply issues for these products are expected to continue until April 2022.","Component Disruption","Clinical Alternatives","<div class=""ExternalClass43DB4EEF224044AD8869B7C25B002E12""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><a href=""https://members.healthtrustpg.com/contracts/59624"" title=""?Award Summary""><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></a></li><li><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/59624.PFS_Blood-Fluid%20Warmers_Product%20Features%20Summary_FP.xlsx?d=w13f508cf037d4fb998d3520e4a71f17d&amp;csf=1&amp;web=1&amp;e=GQL2gG"" title=""Clinical Resource - Blood Fluid Warmers PFS""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Blood Fluid Warmers PFS</span></a></li></ul></div></div>","<div class=""ExternalClassC4A1E582F6D540DEB28155AA38B46B45""><a href=""https://members.healthtrustpg.com/contracts/59624"" title=""Blood/Fluid Warming Equipment and Supplies"">Blood/Fluid Warming Equipment and Supplies</a></div>"
"High","2022-05-13","2022-05-16","Blood/Fluid Warming Equipment and Supplies","<div class=""ExternalClass87C75DD994954C439F5A589315FA26EA""><a href=""https&#58;//members.healthtrustpg.com/contracts/59624"" title=""59624"">59624</a></div>","<div class=""ExternalClassC20A1AC5EEE54485AC3430AA714F2B1F"">Product code L-370, HOTLINE 3 Disposable Warming Set. This item is utilized with the HOTLINE 3 Blood and Fluid warmer.</div>","<div class=""ExternalClass167EB9DE26AE49C79B87A9505963E141""><a href=""https&#58;//portal.healthtrustpg.com/-/media/87ECFC268C7F493F9182968F8D8D05E3.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=205723137&amp;_hsenc=p2ANqtz-9NsDYCXCQhn5VNj6pAK-2D0kijsLC1iLuiU-eiorobwdHLlgD7kUko4AJQz6jwOhndqOCzSMGGmWHo0qx7SVFLyWk"" title=""?Smiths Medical Letter""><span style=""color&#58;black;"">?</span>Smiths Medical Letter</a></div>","Smiths Medical is experiencing a disruption for product code L-370, HOTLINE 3 Disposable Warming Set. This item is utilized with the HOTLINE 3 Blood and Fluid warmer.","Component Disruption","Clinical Alternatives","<div class=""ExternalClass3AEA5DBEC8D74A0AA40FCFA25B569477""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/59624"">?Award Summary</a></li><li><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/59624.PFS_Blood-Fluid%20Warmers_Product%20Features%20Summary_FP.xlsx?d=w13f508cf037d4fb998d3520e4a71f17d&amp;csf=1&amp;web=1&amp;e=GQL2gG"">Clinical Resource - Blood Fluid Warmers PFS?</a></li><li><a href=""/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Forms/AllItems.aspx?id=/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/59624.Supply-disruption_Blood-Fluid.Warming%20Final.pdf&amp;parent=/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources"" title=""Clinical Resource - Blood Fluid Warmers CES"">Clinical Resource - Blood Fluid Warmers CES</a></li></ul></div></div>","<div class=""ExternalClass475B66207B444927BEA043CF3618A2A9""><a href=""https://members.healthtrustpg.com/contracts/59624"" title=""Blood/Fluid Warming Equipment and Supplies"">Blood/Fluid Warming Equipment and Supplies</a></div>"
