"Priority","Modified","DateReported","Category","Contract_x0020_No","Supplier","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod","HT_x0020_Recommendation"
"Low","2022-06-17","2022-06-17","2022-06-17","892","Medline","??UPDATE 6/17 Resolution timeline for no-sting skin protectant extended to Q3 for many productsNo-Sting Skin ProtectantMSC1505  Sub MSC1500  TBD *MSC1500 can only be used for non-damaged skin      MSC1605  Sub MSC1500   JulyMSC1510  Sub MSC1500  AugustMSC1513  Sub MSC1500 TBDMSC1613  Sub MSC1500 JulyUPDATE 4/17 HydrocolloidMSC5522  Sub MSC5422 Q3MSC5544  Sub MSC5444 Q3MSC5566  Sub MSCS466 Q3","No official letter communicated. Information received via supplier.","New formula is going through sterilization & raw material shortages. Air freighting product when ready.
Hydrocolloid reason for disruption is new product adjustments by vendor.","Raw Material Shortage, Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Alternatives Recommended by Supplier","Award Summary?","Wound Care, Advanced (Full Line)","?Review recommended substitutions provided in this communication. Please work with your local Medline representative for supply updates or recommended product substitutions. "
"Low","2022-06-17","2022-06-17","2022-06-17","23989","Medline","?UPDATE 6/17  Resolution timeline extended to July Wound Cleanser MSC6001  Sub EQX6008* non-contracted  July 2022  CRR102160 Sub EQX6008 July 2022","No official letter communicated. Information received via supplier.","Update: 6/17: Low stock due to raw material shortage of the 8oz. bottles product is packaged in. 16 oz, MSC6016, is low on inventory due to substitutions. Receiving shipments of Skintegrity Wound Cleanser (MSC6008) to fill, MSC6008 not healthy yet, expected to drop again in inventory. Continue substituting with Equos Wound Cleanser (EQX6008)","Packaging Issue, Raw Material Shortage","Alternatives Recommended by Supplier, Contracted Alternatives","Award Summary?","No cross posted","?Review recommended substitutions provided in this communication. Please work with your local Medline representative for supply updates or recommended product substitutions. "
"Medium","2022-06-23","2022-05-13","2022-05-13","3189","3M","Ioban Antimicrobial Incise Drapes various SKUs listed in communication","?3M Letter","3M has placed some codes of their surgical drapes on intermittent backorder due to supply constraints on the availability of raw material.","Raw Material Shortage","Clinical Alternatives, Non-Contracted Alternatives","?Award SummaryClinical Resource - Education?","Drapes - Specialty and Surgical","?Work with your local 3M representative for alternatives."
"Retire/Resolved","2022-05-04","2021-11-19","2021-11-19","7347","Johnson & Johnson","No reported issues at present","J&J Letter","No reported backorders at this item, but J&J issuing a potential disruption due to a global silicone shortage.","Raw Material Shortage","Member Communication","?Award Summary Clinical Resource - Baby Powder Clinical Evidence?","Baby Skin Care Supplies","?No issues at present.  Continue to watch."
"Low","2022-04-06","2022-04-06","2022-04-06","589","Medline","?Various SKUsDYNJ05155LF  Sub DYNJ05131 MarchMDS087006LF Sub MDS0S7004 April MDS087106LF Sub MDS087104LF May MDS087156LF Sub MDS087104LF May  ","No official letter communicated. Information received via supplier.","Low stock with sporadic branch-level backorders through portions of Q2 due to factory delays in late Q3/early Q4","Manufacturing Delays from Third Party Vendor","Contracted Alternatives","Award Summary?","Bandages - Elastic","Work with your local Medline representative for supply updates and recommended alternatives."
"Medium","2022-05-16","2022-05-13","2022-05-13","3999","Boston Scientific","Wolverine cutting balloon sizes 3.5mm-4.0mm","Communicated in The Response 1-7-22. No official letter.","Wolverine cutting balloon sizes 3.5mm-4.0mm are on extended back order until May ? June 2022. All other sizes in the Wolverine product line remain available.                                                                 Potential alternatives to consider include:                     ? 3.25 mm for 3.5 mm per IFU                                          ? Equivalent sizes of NC Emerge Dilatation Catheter   ? Larger ROTA burr sizes","Not Specified - Global Supply Challenges","Alternatives Recommended by Supplier","?Award Summary?Clinical Resource - Specialty Balloon Clinical EvidenceClinical Resource - Specialty Balloon PFS","Balloons - Cutting (Cardiac and Peripheral)","?Please work with your local Boston Scientific representative for supply updates and recommendations. "
"Low","2022-05-04","2022-04-29","2022-04-29","1264","3M","?3M? Coban? NL Non-Latex Self-Adherent Wraps, 3M? Coban? Self-Adherent Wraps (Latex Containing)UPDATE 4/29 3M discontinuing some Coban products by 7/15/22 - please refer to letter for list and suggested alternatives.","?UPDATE 4/29 3M Product Discontinuation Letter?3M Letter","UPDATE 4/29: 3M is discontinuing the Coban? products listed in the letter provided. Additional information, including the target discontinuation date for each product and suggested alternatives, where applicable, has been provided. 3M previously suspended production of these products temporarily, and they have made the decision to not resume manufacturing
3M is experiencing intermittent supply issues for 3M? Coban? NL Non-Latex Self-Adherent Wraps, 3M? Coban? Self-Adherent Wraps (Latex Containing)and these products will be on backorder through end of Q3, 2022. 3M recommends transitioning future and existing orders from current to the recommended products.","Not Specified - Global Supply Challenges, Shipping Delays","Alternatives Recommended by Supplier","","Bandages - Elastic Self-Adherent (Coban)","Please refer to 3M letter for suggested alternatives of discontinued products."
"High","2022-06-23","2021-10-26","2021-10-26","56458","Greiner","Various SKUs","No official letter communicated. Information received via supplier.","Greiner has been experiencing a backorder for the past 12+ months due to an increase in demand related to COVID. This is a global shortage and BD, who is not contracted, is experiencing the same issues.","Demand Fluctuations","Non-Contracted Alternatives","?Award SummaryClinical Resource - Collection Tube Conservation","?Blood Collection - Tubes","?Work with your local Greiner representative for supply updates. "
"High","2022-05-16","2022-05-12","2022-05-12","59624","Smiths Medical","Level1 Fast Flow disposable products","Smiths Medical Letter","Smiths Medical had anticipated that the component issue for the Level1 Fast Flow disposable products would be resolved by September. However, the component supply issue is continuing longer than expected, and supply issues for these products are expected to continue until April 2022.","Component Disruption","Clinical Alternatives","?Award SummaryClinical Resource - Blood Fluid Warmers PFS","Blood/Fluid Warming Equipment and Supplies","?Please work with your local Smiths Medical representative for supply updates or product recommendations."
"High","2022-06-02","2022-05-13","2022-05-13","59624","Smiths Medical","Product code L-370, HOTLINE 3 Disposable Warming Set. This item is utilized with the HOTLINE 3 Blood and Fluid warmer.","?Smiths Medical Letter","Smiths Medical is experiencing a disruption for product code L-370, HOTLINE 3 Disposable Warming Set. This item is utilized with the HOTLINE 3 Blood and Fluid warmer.","Component Disruption","Clinical Alternatives","??Award SummaryClinical Resource - Blood Fluid Warmers PFS?Clinical Resource - Blood Fluid Warmers CES","Blood/Fluid Warming Equipment and Supplies","Please work with your local Smiths Medical representative for supply updates or product recommendations."
